<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.31	13:00:00	1.36738	1.36738	1.36392	1.36486	3705	0	0
2020.12.31	14:00:00	1.36486	1.36694	1.36445	1.36620	2962	0	0
2020.12.31	15:00:00	1.36619	1.36632	1.36291	1.36503	4120	0	0
2020.12.31	16:00:00	1.36503	1.36654	1.36399	1.36597	4063	0	0
2020.12.31	17:00:00	1.36595	1.36745	1.36306	1.36708	6900	0	0
2020.12.31	18:00:00	1.36708	1.36762	1.36391	1.36636	6029	0	0
2020.12.31	19:00:00	1.36635	1.36784	1.36495	1.36503	4246	0	0
2020.12.31	20:00:00	1.36503	1.36620	1.36499	1.36587	2200	0	0
2020.12.31	22:00:00	1.36676	1.36745	1.36615	1.36745	1380	0	12
2020.12.31	23:00:00	1.36745	1.36745	1.36745	1.36745	1	0	19
2021.01.04	00:00:00	1.36452	1.36632	1.36443	1.36596	463	0	13
2021.01.04	01:00:00	1.36590	1.36833	1.36560	1.36801	2714	0	0
2021.01.04	02:00:00	1.36809	1.36831	1.36593	1.36727	4754	0	0
2021.01.04	03:00:00	1.36727	1.36895	1.36712	1.36823	4539	0	0
2021.01.04	04:00:00	1.36823	1.36945	1.36809	1.36921	4398	0	0
2021.01.04	05:00:00	1.36921	1.36965	1.36894	1.36956	2760	0	0
2021.01.04	06:00:00	1.36956	1.36982	1.36756	1.36809	2626	0	0
2021.01.04	07:00:00	1.36815	1.36859	1.36676	1.36836	2266	0	0
2021.01.04	08:00:00	1.36832	1.36864	1.36732	1.36852	2634	0	0
2021.01.04	09:00:00	1.36849	1.37029	1.36794	1.36878	3910	0	0
2021.01.04	10:00:00	1.36877	1.36960	1.36715	1.36906	6422	0	0
2021.01.04	11:00:00	1.36906	1.36966	1.36645	1.36733	4903	0	0
2021.01.04	12:00:00	1.36729	1.36965	1.36708	1.36925	4379	0	0
2021.01.04	13:00:00	1.36926	1.37037	1.36648	1.36699	5017	0	0
2021.01.04	14:00:00	1.36697	1.36708	1.36459	1.36540	5189	0	0
2021.01.04	15:00:00	1.36542	1.36568	1.36143	1.36268	6350	0	0
2021.01.04	16:00:00	1.36268	1.36318	1.36021	1.36079	6995	0	0
2021.01.04	17:00:00	1.36079	1.36080	1.35616	1.35777	6969	0	0
2021.01.04	18:00:00	1.35777	1.35962	1.35493	1.35500	6443	0	0
2021.01.04	19:00:00	1.35499	1.35716	1.35418	1.35664	6328	0	0
2021.01.04	20:00:00	1.35663	1.35685	1.35515	1.35632	3778	0	0
2021.01.04	21:00:00	1.35632	1.35675	1.35520	1.35665	3817	0	0
2021.01.04	22:00:00	1.35663	1.35679	1.35513	1.35679	3887	0	0
2021.01.04	23:00:00	1.35678	1.35791	1.35551	1.35680	2515	0	0
2021.01.05	00:00:00	1.35679	1.35758	1.35592	1.35715	415	0	18
2021.01.05	01:00:00	1.35715	1.35783	1.35632	1.35710	2929	0	0
2021.01.05	02:00:00	1.35710	1.35771	1.35618	1.35711	3565	0	0
2021.01.05	03:00:00	1.35711	1.35787	1.35678	1.35694	4116	0	0
2021.01.05	04:00:00	1.35694	1.35888	1.35672	1.35858	2903	0	0
2021.01.05	05:00:00	1.35864	1.35961	1.35784	1.35855	3904	0	0
2021.01.05	06:00:00	1.35855	1.35900	1.35805	1.35864	3351	0	0
2021.01.05	07:00:00	1.35864	1.36023	1.35862	1.35969	3297	0	0
2021.01.05	08:00:00	1.35970	1.36125	1.35903	1.36060	3501	0	0
2021.01.05	09:00:00	1.36064	1.36088	1.35605	1.35695	4890	0	0
2021.01.05	10:00:00	1.35694	1.35937	1.35540	1.35590	6310	0	0
2021.01.05	11:00:00	1.35592	1.35894	1.35562	1.35724	4545	0	0
2021.01.05	12:00:00	1.35723	1.35939	1.35701	1.35853	4311	0	0
2021.01.05	13:00:00	1.35854	1.36070	1.35824	1.35907	4405	0	0
2021.01.05	14:00:00	1.35896	1.35931	1.35688	1.35841	5664	0	0
2021.01.05	15:00:00	1.35834	1.35935	1.35590	1.35670	5242	0	0
2021.01.05	16:00:00	1.35670	1.36016	1.35635	1.35987	5612	0	0
2021.01.05	17:00:00	1.35989	1.36040	1.35724	1.35932	7607	0	0
2021.01.05	18:00:00	1.35930	1.36240	1.35925	1.36178	6411	0	0
2021.01.05	19:00:00	1.36180	1.36421	1.36180	1.36325	4628	0	0
2021.01.05	20:00:00	1.36325	1.36340	1.36130	1.36276	2900	0	0
2021.01.05	21:00:00	1.36275	1.36350	1.36226	1.36292	3295	0	0
2021.01.05	22:00:00	1.36289	1.36345	1.36225	1.36259	2429	0	0
2021.01.05	23:00:00	1.36261	1.36277	1.36190	1.36255	1163	0	0
2021.01.06	00:00:00	1.36252	1.36252	1.36126	1.36204	375	0	13
2021.01.06	01:00:00	1.36202	1.36285	1.36176	1.36265	2351	0	0
2021.01.06	02:00:00	1.36264	1.36465	1.36235	1.36337	6616	0	0
2021.01.06	03:00:00	1.36338	1.36386	1.35989	1.36064	7972	0	0
2021.01.06	04:00:00	1.36064	1.36103	1.35913	1.35949	4405	0	0
2021.01.06	05:00:00	1.35949	1.36113	1.35926	1.36008	5216	0	0
2021.01.06	06:00:00	1.36009	1.36203	1.35995	1.36090	4956	0	0
2021.01.06	07:00:00	1.36091	1.36206	1.36073	1.36157	3701	0	0
2021.01.06	08:00:00	1.36157	1.36315	1.36095	1.36294	4029	0	0
2021.01.06	09:00:00	1.36294	1.36600	1.36279	1.36584	6165	0	0
2021.01.06	10:00:00	1.36583	1.36607	1.36202	1.36243	6308	0	0
2021.01.06	11:00:00	1.36243	1.36458	1.36187	1.36442	4979	0	0
2021.01.06	12:00:00	1.36442	1.36711	1.36436	1.36559	4448	0	0
2021.01.06	13:00:00	1.36559	1.36664	1.36483	1.36483	4527	0	0
2021.01.06	14:00:00	1.36482	1.36544	1.36034	1.36164	5701	0	0
2021.01.06	15:00:00	1.36159	1.36292	1.35650	1.35652	6489	0	0
2021.01.06	16:00:00	1.35648	1.35909	1.35385	1.35788	9114	0	0
2021.01.06	17:00:00	1.35776	1.35897	1.35480	1.35506	8483	0	0
2021.01.06	18:00:00	1.35508	1.35950	1.35408	1.35904	7385	0	0
2021.01.06	19:00:00	1.35905	1.36070	1.35882	1.36049	5127	0	0
2021.01.06	20:00:00	1.36049	1.36196	1.36022	1.36167	4499	0	0
2021.01.06	21:00:00	1.36167	1.36187	1.35961	1.35984	7511	0	0
2021.01.06	22:00:00	1.35985	1.36261	1.35978	1.36088	7799	0	0
2021.01.06	23:00:00	1.36089	1.36157	1.36053	1.36078	2011	0	0
2021.01.07	00:00:00	1.36065	1.36148	1.35998	1.36079	891	0	1
2021.01.07	01:00:00	1.36080	1.36274	1.36039	1.36234	1592	0	0
2021.01.07	02:00:00	1.36236	1.36332	1.36158	1.36229	3241	0	0
2021.01.07	03:00:00	1.36229	1.36292	1.36171	1.36201	4195	0	0
2021.01.07	04:00:00	1.36201	1.36207	1.35726	1.35890	3769	0	0
2021.01.07	05:00:00	1.35890	1.36014	1.35868	1.36012	1813	0	0
2021.01.07	06:00:00	1.36012	1.36094	1.35968	1.35980	1805	0	0
2021.01.07	07:00:00	1.35981	1.35989	1.35835	1.35846	2089	0	0
2021.01.07	08:00:00	1.35847	1.35936	1.35768	1.35899	2651	0	0
2021.01.07	09:00:00	1.35899	1.36001	1.35643	1.35807	3764	0	0
2021.01.07	10:00:00	1.35806	1.36268	1.35696	1.36076	6548	0	0
2021.01.07	11:00:00	1.36076	1.36163	1.35900	1.35945	6057	0	0
2021.01.07	12:00:00	1.35943	1.36073	1.35625	1.35690	5663	0	0
2021.01.07	13:00:00	1.35690	1.35919	1.35649	1.35679	4381	0	0
2021.01.07	14:00:00	1.35680	1.36095	1.35565	1.36043	4639	0	0
2021.01.07	15:00:00	1.36046	1.36128	1.35833	1.35879	5536	0	0
2021.01.07	16:00:00	1.35879	1.36036	1.35630	1.35645	7935	0	0
2021.01.07	17:00:00	1.35639	1.35739	1.35367	1.35499	8108	0	0
2021.01.07	18:00:00	1.35493	1.35693	1.35429	1.35491	5951	0	0
2021.01.07	19:00:00	1.35491	1.35587	1.35326	1.35481	4727	0	0
2021.01.07	20:00:00	1.35482	1.35720	1.35481	1.35719	3348	0	0
2021.01.07	21:00:00	1.35719	1.35777	1.35623	1.35705	3518	0	0
2021.01.07	22:00:00	1.35705	1.35730	1.35568	1.35662	3470	0	0
2021.01.07	23:00:00	1.35662	1.35705	1.35593	1.35625	1719	0	0
2021.01.08	00:00:00	1.35626	1.35668	1.35590	1.35606	412	0	18
2021.01.08	01:00:00	1.35615	1.35701	1.35590	1.35686	1341	0	0
2021.01.08	02:00:00	1.35690	1.35723	1.35582	1.35600	2926	0	0
2021.01.08	03:00:00	1.35600	1.35615	1.35380	1.35531	4637	0	0
2021.01.08	04:00:00	1.35527	1.35642	1.35466	1.35641	3869	0	0
2021.01.08	05:00:00	1.35642	1.35694	1.35592	1.35630	2228	0	0
2021.01.08	06:00:00	1.35626	1.35626	1.35557	1.35594	2058	0	0
2021.01.08	07:00:00	1.35597	1.35703	1.35594	1.35603	2132	0	0
2021.01.08	08:00:00	1.35603	1.35763	1.35585	1.35734	2844	0	0
2021.01.08	09:00:00	1.35732	1.35885	1.35705	1.35774	4963	0	0
2021.01.08	10:00:00	1.35774	1.35855	1.35576	1.35807	7356	0	0
2021.01.08	11:00:00	1.35809	1.36021	1.35726	1.36004	5628	0	0
2021.01.08	12:00:00	1.36004	1.36053	1.35806	1.35837	4060	0	0
2021.01.08	13:00:00	1.35836	1.36007	1.35812	1.35930	3603	0	0
2021.01.08	14:00:00	1.35930	1.36075	1.35850	1.36003	4381	0	0
2021.01.08	15:00:00	1.36003	1.36261	1.35745	1.36195	8988	0	0
2021.01.08	16:00:00	1.36194	1.36356	1.35803	1.35846	9820	0	0
2021.01.08	17:00:00	1.35846	1.35933	1.35473	1.35892	8878	0	0
2021.01.08	18:00:00	1.35893	1.35991	1.35648	1.35826	9577	0	0
2021.01.08	19:00:00	1.35824	1.35867	1.35714	1.35791	5260	0	0
